"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 11-Sep-2020","30 D % CHNG 
 13-Aug-2021"
"NIFTY 50","17,443.85","17,622.75","17,361.80","17,585.15","17,396.90","-188.25","-1.07",339102046,"253,041,100,463.97","17,792.95","10,854.85","52.85","6.90"
"HINDUNILVR","2,720.00","2,809.00","2,710.05","2,722.25","2,800.60","78.35","2.88",2671330,"7,450,633,216.30","2,825.00","2,000.05","29.71","3.93"
"BAJAJFINSV","16,775.05","17,334.00","16,700.10","16,840.20","17,018.60","178.40","1.06",325204,"5,561,505,474.36","17,499.00","5,400.00","185.99","12.43"
"ITC","231.00","239.35","230.25","231.15","232.95","1.80","0.78",70390969,"16,600,302,219.27","239.35","163.35","29.06","10.65"
"NESTLEIND","20,125.00","20,386.00","20,101.00","20,175.70","20,320.00","144.30","0.72",91513,"1,858,988,676.09","20,609.15","15,100.00","25.42","3.09"
"HCLTECH","1,258.00","1,298.80","1,250.00","1,263.30","1,270.40","7.10","0.56",5453683,"7,000,020,277.82","1,298.80","784.00","55.85","13.06"
"BRITANNIA","4,035.00","4,115.00","4,000.00","4,051.85","4,068.05","16.20","0.40",291097,"1,189,838,610.71","4,153.00","3,317.30","6.70","4.00"
"RELIANCE","2,372.10","2,418.35","2,370.00","2,390.55","2,391.85","1.30","0.05",5436385,"13,039,549,969.45","2,480.00","1,830.00","3.68","11.28"
"BAJFINANCE","7,360.00","7,581.00","7,320.75","7,428.80","7,428.00","-0.80","-0.01",1083806,"8,094,795,281.16","7,679.95","3,006.90","113.79","11.53"
"ONGC","125.05","129.40","125.05","127.75","127.70","-0.05","-0.04",29857432,"3,828,021,356.72","131.25","64.10","71.94","15.93"
"TCS","3,809.00","3,871.00","3,807.85","3,827.85","3,820.05","-7.80","-0.20",2002008,"7,682,145,137.76","3,981.75","2,302.60","56.25","7.54"
"INFY","1,685.00","1,707.70","1,677.95","1,691.30","1,687.40","-3.90","-0.23",5660743,"9,599,940,838.84","1,757.00","970.00","68.77","-2.40"
"DIVISLAB","5,100.00","5,235.60","5,079.65","5,122.80","5,102.05","-20.75","-0.41",451356,"2,336,958,879.84","5,271.65","2,985.00","53.18","6.31"
"KOTAKBANK","1,990.00","2,037.20","1,981.35","2,007.95","1,996.50","-11.45","-0.57",5881089,"11,808,638,603.10","2,049.00","1,230.60","57.23","17.87"
"ASIANPAINT","3,299.95","3,315.00","3,265.00","3,303.05","3,273.60","-29.45","-0.89",689288,"2,267,647,233.92","3,394.60","1,907.75","62.84","6.11"
"TITAN","2,088.00","2,096.00","2,070.55","2,095.60","2,076.90","-18.70","-0.89",411738,"857,172,637.92","2,150.00","1,076.00","80.10","11.66"
"LT","1,700.20","1,735.00","1,699.95","1,716.20","1,700.00","-16.20","-0.94",1820374,"3,123,525,135.38","1,741.70","843.00","90.54","7.69"
"BHARTIARTL","725.00","733.70","720.30","728.15","721.25","-6.90","-0.95",14066795,"10,227,403,972.70","737.00","394.00","47.23","18.65"
"WIPRO","657.75","670.50","653.40","665.25","658.55","-6.70","-1.01",4546430,"3,020,602,627.70","690.00","302.45","110.19","7.29"
"MARUTI","6,979.90","7,015.45","6,906.20","7,014.45","6,942.50","-71.95","-1.03",550405,"3,831,908,601.90","8,329.00","6,270.15","0.71","2.39"
"BAJAJ-AUTO","3,813.40","3,813.40","3,735.00","3,822.20","3,778.45","-43.75","-1.14",399648,"1,508,327,502.72","4,361.40","2,822.45","25.28","1.88"
"TECHM","1,440.00","1,493.15","1,426.35","1,451.55","1,433.00","-18.55","-1.28",2526342,"3,689,166,695.76","1,493.15","747.55","80.40","3.74"
"HDFCBANK","1,564.00","1,581.70","1,558.00","1,582.15","1,559.75","-22.40","-1.42",4390805,"6,889,436,493.30","1,641.00","1,025.00","49.64","4.45"
"HEROMOTOCO","2,920.00","2,920.00","2,873.55","2,932.10","2,890.00","-42.10","-1.44",442234,"1,279,117,621.60","3,629.05","2,636.00","-5.80","8.70"
"NTPC","122.50","123.95","121.80","123.75","121.90","-1.85","-1.49",7431359,"914,354,411.36","125.70","78.10","36.66","8.41"
"AXISBANK","800.00","808.55","791.50","807.35","792.95","-14.40","-1.78",6306484,"5,042,979,930.60","820.70","400.15","82.10","9.06"
"GRASIM","1,565.00","1,567.55","1,528.55","1,568.80","1,540.00","-28.80","-1.84",774163,"1,197,397,912.10","1,622.65","675.50","110.58","5.67"
"M&M","749.40","756.50","732.20","754.15","740.30","-13.85","-1.84",2933375,"2,183,663,017.50","952.05","567.50","15.29","-4.01"
"ULTRACEMCO","7,684.00","7,730.15","7,545.65","7,711.85","7,567.95","-143.90","-1.87",291081,"2,229,654,262.71","8,073.30","3,753.90","92.67","2.92"
"ICICIBANK","710.00","720.40","706.50","720.15","706.65","-13.50","-1.87",7943459,"5,669,167,253.71","734.80","333.75","94.87","5.80"
"SBILIFE","1,189.85","1,198.70","1,174.00","1,198.80","1,176.00","-22.80","-1.90",2117784,"2,513,724,896.64","1,253.65","755.25","41.35","6.53"
"TATACONSUM","870.05","876.95","855.00","874.15","857.45","-16.70","-1.91",1081450,"935,962,531.50","889.00","458.95","61.70","3.17"
"POWERGRID","177.20","179.20","175.10","178.80","175.35","-3.45","-1.93",5874802,"1,040,897,418.36","188.63","115.95","4.01","0.11"
"SUNPHARMA","766.70","774.75","751.60","769.90","753.95","-15.95","-2.07",2206369,"1,688,578,323.08","804.35","452.25","47.11","1.15"
"CIPLA","953.00","953.00","929.80","954.05","934.00","-20.05","-2.10",2308294,"2,169,080,788.86","997.00","706.50","18.33","7.09"
"COALINDIA","155.90","157.55","152.80","156.70","153.35","-3.35","-2.14",12541523,"1,945,817,293.45","165.00","109.55","26.73","15.56"
"SHREECEM","30,450.00","30,700.00","29,838.25","30,559.45","29,898.00","-661.45","-2.16",52781,"1,598,001,250.67","32,048.00","18,183.55","56.55","16.23"
"ADANIPORTS","759.80","776.00","746.10","767.10","747.50","-19.60","-2.56",5570433,"4,243,945,789.71","901.00","312.10","114.36","11.63"
"HDFCLIFE","739.05","746.90","727.00","747.75","727.60","-20.15","-2.69",1447672,"1,067,484,379.36","775.65","555.95","27.80","11.96"
"DRREDDY","4,875.00","4,885.55","4,748.20","4,884.55","4,749.75","-134.80","-2.76",332066,"1,601,886,384.00","5,614.60","4,135.00","-8.41","7.21"
"IOC","116.50","117.70","114.40","118.25","114.80","-3.45","-2.92",9170924,"1,062,726,673.12","119.45","71.65","46.53","14.25"
"HDFC","2,795.30","2,808.65","2,733.00","2,825.65","2,742.00","-83.65","-2.96",2057743,"5,695,853,201.43","2,896.00","1,623.00","63.90","3.81"
"EICHERMOT","2,856.10","2,858.55","2,756.65","2,898.55","2,804.25","-94.30","-3.25",1190719,"3,346,599,099.83","3,037.00","2,015.20","34.63","11.41"
"TATAMOTORS","304.90","310.25","297.30","308.60","297.80","-10.80","-3.50",19632688,"5,976,386,554.08","360.75","122.15","108.65","9.01"
"INDUSINDBK","1,115.00","1,132.40","1,084.60","1,130.00","1,089.00","-41.00","-3.63",2954179,"3,281,531,574.99","1,186.50","485.00","84.28","15.37"
"SBIN","449.40","453.50","435.65","454.10","436.90","-17.20","-3.79",18376916,"8,174,787,313.44","471.90","175.50","135.77","11.65"
"BPCL","431.05","433.65","418.95","436.25","419.50","-16.75","-3.84",7372138,"3,140,457,066.62","503.00","325.00","5.87","-4.16"
"UPL","738.00","738.00","701.00","742.35","702.90","-39.45","-5.31",3082145,"2,211,408,216.05","864.70","399.00","38.16","1.94"
"HINDALCO","462.00","464.00","442.40","473.05","444.00","-29.05","-6.14",18031539,"8,133,305,981.34","488.00","154.40","163.54","17.19"
"JSWSTEEL","669.90","669.90","628.10","682.30","629.85","-52.45","-7.69",10340874,"6,717,535,159.14","776.50","257.55","137.16","-0.34"
"TATASTEEL","1,350.00","1,351.90","1,247.35","1,385.90","1,247.35","-138.55","-10.00",28238412,"36,512,266,716.00","1,534.50","342.75","250.42","0.75"
