"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 11-Sep-2020","30 D % CHNG 
 13-Aug-2021"
"NIFTY NEXT 50","42,797.65","43,030.45","42,262.80","43,157.25","42,354.55","-802.70","-1.86",341228789,"78,158,883,776.32","43,633.30","25,860.90","56.63","9.59"
"DMART","4,208.00","4,430.00","4,151.00","4,239.65","4,428.00","188.35","4.44",438432,"1,873,284,022.08","4,430.00","1,954.85","97.28","16.37"
"BAJAJHLDNG","4,450.00","4,800.00","4,405.00","4,398.85","4,496.85","98.00","2.23",413440,"1,894,253,913.60","4,923.90","2,212.65","70.00","5.99"
"ICICIGI","1,589.40","1,657.00","1,582.00","1,603.95","1,619.95","16.00","1.00",1223575,"1,997,522,894.75","1,657.30","1,200.00","23.77","8.95"
"MARICO","559.00","572.00","556.00","560.10","565.60","5.50","0.98",3866691,"2,195,932,485.81","587.35","333.00","54.51","4.13"
"ABBOTINDIA","20,480.50","20,887.95","20,161.40","20,480.60","20,560.00","79.40","0.39",12344,"254,001,500.48","21,870.00","13,959.80","24.08","7.37"
"BOSCHLTD","15,060.25","15,429.95","14,910.10","15,076.00","15,109.00","33.00","0.22",65331,"994,216,957.65","16,830.05","11,265.05","15.34","10.23"
"PIDILITIND","2,366.80","2,402.85","2,351.05","2,368.45","2,364.95","-3.50","-0.15",281382,"669,618,814.50","2,424.90","1,390.00","62.77","4.47"
"PGHH","13,921.00","13,927.15","13,745.05","13,923.20","13,900.00","-23.20","-0.17",3823,"52,814,362.70","14,590.45","9,691.40","40.60","8.72"
"SBICARD","1,075.00","1,077.00","1,053.95","1,078.05","1,075.50","-2.55","-0.24",1113168,"1,187,115,750.24","1,165.00","766.10","26.92","7.64"
"NAUKRI","6,614.70","6,775.00","6,560.00","6,614.70","6,599.00","-15.70","-0.24",497418,"3,297,841,546.56","6,985.00","3,275.40","89.68","22.67"
"BERGEPAINT","818.30","826.15","809.75","818.75","814.55","-4.20","-0.51",386714,"316,571,814.68","872.95","550.50","41.53","-0.06"
"COLPAL","1,722.55","1,740.00","1,720.00","1,732.55","1,720.70","-11.85","-0.68",236735,"409,494,733.60","1,823.40","1,322.15","26.22","3.31"
"JUBLFOOD","4,090.00","4,201.00","4,030.10","4,102.80","4,074.05","-28.75","-0.70",554672,"2,293,263,650.40","4,272.55","2,100.20","73.79","3.39"
"MRF","79,190.00","79,950.00","78,510.00","79,397.25","78,750.00","-647.25","-0.82",11737,"928,082,148.40","98,599.95","55,300.00","34.68","1.69"
"MCDOWELL-N","739.00","751.85","732.50","741.75","735.50","-6.25","-0.84",1632456,"1,211,641,492.32","777.00","494.00","36.43","5.38"
"ALKEM","3,804.00","3,820.00","3,744.95","3,824.95","3,790.00","-34.95","-0.91",110948,"419,499,935.40","3,947.00","2,540.05","33.05","0.54"
"PETRONET","229.50","231.20","226.95","232.20","230.00","-2.20","-0.95",2503033,"574,045,588.22","275.35","207.25","1.75","2.34"
"APOLLOHOSP","4,864.00","4,952.55","4,781.70","4,908.25","4,860.30","-47.95","-0.98",434640,"2,123,890,092.00","5,122.00","1,683.40","168.44","3.41"
